Designator,Qty,Populate_Base,Populate_Full,Function,Manufacturer,MPN_or_Class,Package_or_Footprint,Notes
J_USB,1,YES,YES,USB service,GCT,USB4105-family,USB_C_16pin_THT_shell,USB2 device-only; exact stake-length suffix remains mechanical gate
D_USB_DN-D_USB_DP,2,YES,YES,USB D-/D+ ESD,Texas Instruments,TPD1E05U06DYAR,SOD-523,0.5pF-class high-speed ESD; place at connector
R_CC1-R_CC2,2,YES,YES,USB Type-C CC,Multiple,5.1k 1%,0603,Rd to GND
SW_RESET,1,YES,YES,Reset button,Multiple,Momentary tact switch,THT_or_SMD,Accessible service control
SW_BOOT,1,YES,YES,Boot button,Multiple,Momentary tact switch,THT_or_SMD,GPIO0 boot strap
LED_PWR,1,YES,YES,Power indication,Multiple,LED,0603_or_0805,Hardware-derived power indication
U_LEDLOGIC,1,YES,YES,RS485 activity and system-status buffer,Texas Instruments,SN74LVC14APWR,TSSOP-14,Four UART activity channels plus green/red status drive
C_LEDLOGIC,1,YES,YES,Diagnostic buffer decoupling,Multiple,0.1uF,0603,Place at U_LEDLOGIC VCC/GND
D_RS485A_TX_ACT-D_RS485B_TX_ACT,2,YES,YES,RS485 TX activity LED,Wurth Elektronik,150080AS75000,LED_0805,Amber logic-side activity; never connected to A/B field pair
D_RS485A_RX_ACT-D_RS485B_RX_ACT,2,YES,YES,RS485 RX activity LED,Wurth Elektronik,150080VS75000,LED_0805,Green logic-side activity
D_STATUS_GREEN,1,YES,YES,RUN/healthy LED,Wurth Elektronik,150080VS75000,LED_0805,GPIO35 through U_LEDLOGIC; green
D_STATUS_RED,1,YES,YES,FAULT/WARNING LED,Wurth Elektronik,150080RS75000,LED_0805,GPIO21 through U_LEDLOGIC; red; both status LEDs on = warning
R_ACTIVITY_STATUS,8,YES,YES,Diagnostic LED current/control resistors,Multiple,680R or 100k per schematic,0603,680R LED current resistors; 100k status-control reset pulldowns
U_RS232,1,NO,OPTIONAL,RS232 HMI option,Multiple,MAX3232-class,SOIC-16,DNP base
U_DI1-U_DI4,4,NO,YES,Isolated digital input,Lite-On_or_equiv,LTV-817/PC817-class,DIP-4_or_SMD_optocoupler,Optional full BOM
R_DI1-R_DI4,4,NO,YES,DI input resistor,Multiple,3.3k >=0.25W,1206_or_THT,Starting value for 12/24V; final dissipation/threshold review required
D_DI1-D_DI4,4,NO,YES,DI reverse protection,Multiple,1N4148-class,SOD-123_or_THT,Across opto LED reverse direction
J_DI,1,NO,YES,Digital input terminal,Multiple,5P 5.08mm field terminal,THT_P5.08,DI1 DI2 DI3 DI4 COM
U_RTC,1,NO,YES,RTC,NXP_or_equiv,PCF8563-class,SOIC-8_or_TSSOP,Optional full BOM
Y_RTC,1,NO,YES,RTC crystal,Multiple,32.768kHz crystal,SMD,Match RTC datasheet
BT1,1,NO,YES,RTC backup cell,Multiple,CR1220/CR2032 holder,THT_or_SMD,Accessible after enclosure opens
J_SD,1,NO,YES,microSD,Multiple,microSD push-push_or_hinged,SMD,Optional logging
D_SD,1,NO,YES,microSD ESD,Multiple,Low-capacitance ESD array,SMD,If user accessible
